junction_name,cis_mean,violation_count,lat,lon,validated_pct,predicted_stress_next_h,historical_peak_stress,spillover_centrality,recency_score,quality_bonus,priority_score,rank,patrol_stop,officer_assigned,route_km
BTP222 - Delmia Circle,1.6392724489795918,98,12.905932804081633,77.59263616836735,0.9387755102040817,0.2776,1.0,0.00635360628939458,0.9778786273353393,0.04693877551020409,0.4156,83,,,
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",1.9979275294117647,425,12.979911838377566,77.5546504141,0.9247058823529412,0.1781,1.0,0.0034345009264042017,0.992312997930807,0.04623529411764706,0.4153,84,,,
"BTP210 - 50th cross, 12th Main , Rajajinagar",1.8049428571428572,455,12.986979151428573,77.55512463802198,0.9098901098901099,0.2181,1.0,0.005627863352669993,0.9947620428033067,0.0454945054945055,0.4127,85,,,
"BTP095 - Satellite Bus Stand, Mysore Road",1.8324005161290322,775,12.953825250666533,77.54339804607628,0.9574193548387097,0.1816,1.0,0.00635360628939458,0.9924529433520927,0.047870967741935486,0.4127,86,,,
BTP037 - KR Circle,2.2763062761506276,239,12.976534570711298,77.58653865523013,0.7238493723849372,0.0665,1.0,0.005947234600873391,0.9932426353722048,0.03619246861924686,0.4125,87,,,
"BTP093 - Toll Gate, Mysore Road",2.018131111111111,90,12.958754304444446,77.55213842444445,0.7444444444444445,0.1965,1.0,0.004996752651860931,0.9439618548765981,0.037222222222222226,0.4124,88,,,
"BTP148 - 17th Main, Doopanahalli Bus Stop",2.284364966442953,745,12.963663511161307,77.64223399413451,0.9033557046979865,0.0368,1.0,0.004537709843818416,0.9899739101750318,0.04516778523489933,0.4115,89,,,
"BTP080 - NR Road, SP Road Junction",2.1025764737842976,3681,12.96439657572473,77.58316820553203,0.8883455582722086,0.098,1.0,0.005593272017250213,0.9906036645708174,0.044417277913610435,0.4113,90,,,
"BTP114 - KR Road Junction, Near JSS",1.5709953125,64,12.924224496361514,77.57491752140425,0.984375,0.2957,1.0,0.00635360628939458,0.9182918661721928,0.049218750000000006,0.4105,91,,,
"BTP115 - Sahasra Hospital, Jayanagar",1.7191505524861879,362,12.91728404702033,77.5738125694776,0.9060773480662984,0.2842,1.0,0.0034345009264042017,0.9883145573226442,0.04530386740331492,0.4084,92,,,
"BTP177 - Aurobindo Circle, ORR",1.9871145161290322,186,12.916612181720431,77.58524550268818,0.8655913978494624,0.1399,1.0,0.005856361659441359,0.965423484840912,0.04327956989247312,0.4054,93,,,
BTP215 - Vanivillas Junction,2.0773315668202765,434,12.946120153483719,77.57023379090926,0.7603686635944701,0.101,1.0,0.006953005209755897,0.9911934345605214,0.038018433179723504,0.4033,94,,,
BTP052 - CID Carlton House Junction,2.201308585858586,198,12.980863155860892,77.58762164743166,0.7171717171717171,0.0929,1.0,0.005113744673512221,0.9773388378532373,0.03585858585858586,0.4019,95,,,
"BTP099 - Cash Pharmacy, Residency Road",2.049096561604584,349,12.969120946131804,77.60030236275072,0.8022922636103151,0.0904,1.0,0.007549642808751289,0.9760693329601455,0.04011461318051576,0.4015,96,,,
BTP044 - Sagar Theatre Junction,1.988277125793914,10549,12.974938996857006,77.57889570478889,0.8496539956393971,0.1105,1.0,0.006352705627987131,0.99263287317946,0.04248269978196986,0.3976,97,,,
BTP192 - Urvashi Theater,2.03842448,625,12.95650754928,77.58603276544001,0.8544,0.1308,1.0,0.0038135348868297532,0.9923729745399295,0.04272000000000001,0.397,98,,,
BTP063 - Siddalingaiah Circle,2.066581037735849,1060,12.971526511981132,77.5967034683019,0.8273584905660377,0.1082,1.0,0.004840820058819273,0.9928128030068273,0.04136792452830189,0.3969,99,,,
BTP061 - Bhashyam Circle,1.7348466019417477,1030,12.985184338307276,77.55392274871211,0.916504854368932,0.1421,1.0,0.009445070492982545,0.993492537910215,0.0458252427184466,0.3967,100,,,
"BTP145 - Sri Hatti Maramma Circle, Domluru",1.8045937142857142,175,12.961282601803124,77.63615441362482,0.9314285714285714,0.1803,1.0,0.005250397371980367,0.9917632123471846,0.04657142857142857,0.396,101,,,
"BTP204 - ESI Hospital, Rajajinagar",1.7080310344827585,638,12.990358886677116,77.55373500799372,0.8166144200626959,0.2114,1.0,0.0075455080413139135,0.9948620038185108,0.0408307210031348,0.3959,102,,,
BTP167 - JC Road Junction,2.006297849462366,372,12.9582712466602,77.58126169958715,0.8602150537634409,0.098,1.0,0.006895549484648497,0.9359149931526705,0.043010752688172046,0.3951,103,,,
BTP128 - Gorappanapalya Junction,1.3403854545454545,55,12.920460569090908,77.60040643272727,0.9272727272727272,0.4052,1.0,0.0034345009264042017,0.9445516248663022,0.046363636363636364,0.3906,104,,,
BTP119 - Minerva Circle,1.808062311557789,199,12.955163112562813,77.58039649145728,0.8693467336683417,0.2316,1.0,0.0034345009264042017,0.9051969731804597,0.04346733668341709,0.3892,105,,,
BTP140 - Madiwala Check Post,1.9530173913043476,368,12.932305598913045,77.6132812736413,0.8722826086956522,0.0468,1.0,0.00927271165238496,0.9929827367326742,0.043614130434782614,0.3885,106,,,
"BTP001 - 10th Cross, Dr. Rajkumar Road",1.9117678165007113,2812,13.007811443262298,77.55465340067576,0.8911806543385491,0.1587,1.0,0.0034345009264042017,0.9972610681834084,0.04455903271692746,0.3884,107,,,
